Age_GICC05+AICC12	d18	dD
19.561000	-39.386	-308.37
19.581000	-42.477	-332.42
19.601000	-39.785	-310.76
19.621000	-45.007	-353.85
19.641000	-40.592	-316.30
19.661000	-40.706	-319.47
19.681000	-39.770	-311.75
19.701000	-40.043	-314.05
19.721000	-40.732	-318.54
19.741000	-39.615	-310.32
19.761000	-42.437	-335.19
19.781000	-42.726	-335.80
19.801000	-40.396	-316.71
19.821000	-43.439	-340.80
19.841000	-41.707	-326.86
19.861000	-41.801	-328.21
19.881000	-41.549	-325.92
19.901000	-43.752	-342.86
19.921000	-40.649	-318.48
19.941000	-41.786	-328.19
19.961000	-43.695	-343.66
19.981000	-45.186	-356.05
20.001000	-41.642	-325.87
20.021000	-41.261	-324.52
20.041000	-42.828	-336.53
20.061000	-40.015	-313.77
20.081000	-44.956	-352.12
20.101000	-42.494	-331.64
20.121000	-41.662	-327.81
20.141000	-43.051	-337.49
20.161000	-42.250	-331.03
20.181000	-42.697	-334.44
20.201000	-42.134	-329.54
20.221000	-42.383	-331.72
20.241000	-40.577	-318.87
20.261000	-41.951	-329.21
20.281000	-45.177	-356.21
20.301000	-42.717	-334.62
20.321000	-40.903	-320.52
20.341000	-41.327	-322.54
20.361000	-42.896	-336.20
20.381000	-40.699	-319.42
20.401000	-43.360	-339.67
20.421000	-42.657	-335.71
20.441000	-41.293	-324.17
20.461000	-44.808	-352.21
20.481000	-45.526	-356.67
20.501000	-45.121	-353.64
20.521000	-43.693	-342.81
20.541000	-42.532	-331.12
20.561000	-42.240	-330.95
20.581000	-41.615	-326.24
20.601000	-44.203	-347.01
20.621000	-42.409	-332.00
20.641000	-42.094	-328.99
20.661000	-46.836	-367.21
20.681000	-41.697	-325.79
20.701000	-40.418	-316.55
20.721000	-41.545	-326.94
20.741000	-41.270	-323.65
20.761000	-40.764	-320.04
20.781000	-45.797	-359.59
20.801000	-41.389	-324.31
20.821000	-42.406	-332.21
20.841000	-41.817	-329.15
20.861000	-40.737	-321.32
20.881000	-47.374	-372.19
20.901000	-44.176	-346.41
20.921000	-45.079	-354.51
20.941000	-43.624	-340.26
20.961000	-42.833	-334.93
20.981000	-44.535	-349.30
21.001000	-43.081	-338.64
21.021000	-41.918	-327.78
21.041000	-44.564	-350.44
21.061000	-40.708	-319.08
21.081000	-44.899	-353.30
21.101000	-42.677	-333.65
21.121000	-43.000	-337.42
21.141000	-46.249	-363.62
21.161000	-43.396	-339.90
21.181000	-46.193	-363.34
21.201000	-45.010	-353.13
21.221000	-45.499	-356.27
21.241000	-41.801	-327.59
21.261000	-45.355	-354.88
21.281000	-44.520	-348.90
21.301000	-45.028	-354.17
21.321000	-42.587	-333.41
21.341000	-41.614	-326.93
21.361000	-40.718	-318.91
21.381000	-41.189	-322.68
21.401000	-42.890	-337.22
21.421000	-41.025	-321.45
21.441000	-45.170	-355.22
21.461000	-43.229	-339.63
21.481000	-38.305	-299.66
21.501000	-43.683	-341.39
21.521000	-43.950	-343.90
21.541000	-44.115	-345.86
21.561000	-40.710	-318.96
21.581000	-41.965	-330.50
21.601000	-42.930	-336.66
21.621000	-42.707	-334.36
21.641000	-42.863	-336.06
21.661000	-42.246	-330.64
21.681000	-44.745	-350.30
21.701000	-42.786	-335.17
21.721000	-45.264	-353.43
21.741000	-41.116	-321.71
21.761000	-41.008	-321.93
21.781000	-43.573	-341.03
21.801000	-42.006	-328.29
21.821000	-41.354	-323.96
21.841000	-41.403	-324.11
21.861000	-41.921	-328.61
21.881000	-40.937	-321.21
21.901000	-41.837	-328.13
21.921000	-40.848	-319.81
21.941000	-42.180	-331.47
21.961000	-42.013	-329.89
21.981000	-41.009	-320.95
22.001000	-44.437	-347.14
22.021000	-42.552	-335.08
22.041000	-43.125	-338.90
22.061000	-40.711	-320.60
22.081000	-41.116	-322.48
22.101000	-44.703	-349.67
22.121000	-39.100	-305.04
22.141000	-40.224	-314.77
22.161000	-41.838	-328.09
22.181000	-40.456	-315.60
22.201000	-44.069	-345.95
22.221000	-40.265	-314.37
22.241000	-41.477	-324.64
22.261000	-43.206	-338.99
22.281000	-41.789	-327.64
22.301000	-43.462	-339.99
22.321000	-41.837	-327.36
22.341000	-42.486	-334.08
22.361000	-41.834	-327.88
22.381000	-45.280	-353.31
22.401000	-43.512	-341.54
22.421000	-42.561	-333.64
22.441000	-41.677	-325.38
22.461000	-42.879	-336.03
22.481000	-43.532	-340.46
22.501000	-41.981	-327.14
22.521000	-40.078	-311.73
22.541000	-41.194	-322.73
22.561000	-46.314	-361.80
22.581000	-40.877	-319.33
22.601000	-43.177	-337.36
22.621000	-42.803	-334.30
22.641000	-41.775	-327.03
22.661000	-44.149	-344.45
22.681000	-43.932	-343.78
22.701000	-43.815	-342.65
22.721000	-42.006	-328.61
22.741000	-43.606	-340.90
22.761000	-41.501	-323.89
22.781000	-43.951	-344.59
22.801000	-42.366	-331.99
22.821000	-41.174	-321.87
22.841000	-41.842	-327.80
22.861000	-41.905	-328.12
22.881000	-42.086	-329.24
22.901000	-41.091	-321.21
22.921000	-40.027	-316.19
22.941000	-38.003	-298.93
22.961000	-40.042	-316.98
22.981000	-42.164	-329.07
23.001000	-42.272	-330.74
23.021000	-43.666	-343.41
23.041000	-43.413	-340.89
23.061000	-43.205	-338.93
23.081000	-42.273	-330.94
23.101000	-42.534	-333.15
23.121000	-40.738	-318.90
23.141000	-42.005	-328.50
23.161000	-41.149	-321.40
23.181000	-45.119	-354.99
23.201000	-42.130	-329.42
23.221000	-43.263	-340.90
23.241000	-41.039	-323.66
23.261000	-38.293	-301.52
23.281000	-37.461	-294.50
23.301000	-39.549	-312.13
23.321000	-37.883	-298.87
23.341000	-40.452	-317.40
23.361000	-40.886	-319.80
23.381000	-42.648	-334.42
23.401000	-45.779	-358.58
23.421000	-44.037	-346.29
23.441000	-42.288	-330.24
23.461000	-43.863	-344.75
23.481000	-43.373	-340.17
23.501000	-44.711	-350.03
23.521000	-42.939	-336.55
23.541000	-47.428	-370.12
23.561000	-44.651	-350.99
23.581000	-42.511	-332.73
23.601000	-41.686	-327.15
23.621000	-42.934	-336.19
23.641000	-43.796	-342.44
23.661000	-44.311	-345.74
23.681000	-42.666	-335.42
23.701000	-45.812	-359.24
23.721000	-42.493	-332.79
23.741000	-45.078	-352.91
23.761000	-45.213	-355.61
23.781000	-44.617	-349.57
23.801000	-43.114	-336.43
23.821000	-42.730	-333.58
23.841000	-44.562	-349.31
23.861000	-42.489	-333.05
23.881000	-43.515	-339.98
23.901000	-42.027	-328.27
23.921000	-40.450	-314.66
23.941000	-44.823	-350.73
23.961000	-46.532	-363.92
23.981000	-44.711	-350.82
24.001000	-45.165	-353.70
24.021000	-44.018	-344.66
24.041000	-44.146	-345.78
24.061000	-43.356	-338.18
24.081000	-44.328	-344.97
24.101000	-44.703	-348.35
24.121000	-44.661	-348.86
24.141000	-44.866	-351.56
24.161000	-45.244	-351.84
24.181000	-43.413	-338.78
24.201000	-46.210	-362.08
24.221000	-41.879	-328.16
24.241000	-43.859	-342.23
24.261000	-44.767	-349.86
24.281000	-43.564	-341.54
24.301000	-43.065	-336.42
24.321000	-43.837	-343.16
24.341000	-44.259	-345.98
24.361000	-43.308	-339.11
24.381000	-41.574	-325.34
24.401000	-40.582	-315.30
24.421000	-43.792	-341.48
24.441000	-40.676	-317.70
24.461000	-42.938	-334.40
24.481000	-39.586	-309.09
24.501000	-41.814	-327.61
24.521000	-43.249	-337.81
24.541000	-42.733	-333.87
24.561000	-44.573	-347.65
24.581000	-43.151	-337.05
24.601000	-42.341	-331.21
24.621000	-42.288	-330.88
24.641000	-43.037	-336.60
24.661000	-43.486	-339.74
24.681000	-44.319	-347.33
24.701000	-43.675	-341.87
24.721000	-42.243	-332.52
24.741000	-44.508	-347.19
24.761000	-45.332	-354.79
24.781000	-43.533	-341.19
24.801000	-41.731	-327.35
24.821000	-41.775	-327.22
24.841000	-44.829	-352.11
24.861000	-43.528	-340.96
24.881000	-42.149	-330.94
24.901000	-42.773	-334.64
24.921000	-43.986	-344.29
24.941000	-43.432	-341.38
24.961000	-42.480	-333.55
24.981000	-45.073	-354.82
25.001000	-43.858	-345.05
25.021000	-43.625	-342.38
25.041000	-42.766	-336.47
25.061000	-42.766	-336.21
25.081000	-42.925	-336.82
25.101000	-42.432	-331.69
25.121000	-46.679	-366.09
25.141000	-44.057	-344.96
25.161000	-41.761	-326.57
25.181000	-42.781	-335.55
25.201000	-40.112	-314.39
25.221000	-43.538	-340.62
25.241000	-44.721	-350.89
25.261000	-42.975	-335.71
25.281000	-41.461	-323.26
25.301000	-43.639	-342.24
25.321000	-43.595	-341.36
25.341000	-45.823	-359.41
25.361000	-44.851	-352.32
25.381000	-42.409	-331.18
25.401000	-42.026	-328.55
25.421000	-43.233	-338.57
25.441000	-44.447	-348.51
25.461000	-42.757	-334.71
25.481000	-38.017	-296.40
25.501000	-44.036	-345.65
25.521000	-42.469	-331.54
25.541000	-41.455	-324.58
25.561000	-43.217	-338.59
25.581000	-44.088	-343.67
25.601000	-43.360	-340.18
25.621000	-44.033	-344.69
25.641000	-45.053	-354.36
25.661000	-42.447	-332.69
25.681000	-43.250	-338.72
25.701000	-43.541	-340.70
25.721000	-43.537	-340.96
25.741000	-42.627	-333.22
25.761000	-45.428	-354.55
25.781000	-41.280	-320.55
25.801000	-43.385	-338.88
25.821000	-45.834	-358.94
25.841000	-44.227	-345.84
25.861000	-45.443	-356.44
25.881000	-43.053	-335.57
25.901000	-43.769	-342.97
25.921000	-44.253	-347.67
25.941000	-44.504	-349.07
25.961000	-45.424	-355.47
25.981000	-43.235	-338.59
